//mode,create,,,,,,,,,,,,,,,,,,
Apartments,id,number,type,nameKey,descriptionKey,addressKey,size,featuresKeys,,,,,,,,,,,
//   ,*app5,5,1,VIP,apartment 5 par 1;apartment 5 par 2;apartment 5 par 3;apartment 5 par 4;apartment 5 par 5,poltavski shlach,27,27 sq.m.;Wi-Fi;TV;Air Condition;Refrigirator;Washing Machine;Jacuzzi;Fireplace;Double bed + Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Mini-Bar;24X7 Service,,,,,,,,,,,
//   ,*app14,14,1,Romance,apartment 14 par 1;apartment 14 par 2;apartment 14 par 3;apartment 14 par 4;apartment 14 par 5,poltavski shlach,25,25 sq.m.;Wi-Fi;TV;Air Condition;Refrigirator;Washing Machine;Shower Stall;Double bed + Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Mini-Bar;24X7 Service,,,,,,,,,,,
//   ,*app22,22,1,Family style,apartment 22 par 1;apartment 22 par 2;apartment 22 par 3;apartment 22 par 4;apartment 22 par 5,poltavski shlach,22,23 sq.m.;Wi-Fi;TV;Air Condition;Refrigirator;Washing Machine;Shower;Convertible Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Mini-Bar;24X7 Service,,,,,,,,,,,
//   ,*app23,23,1,Business Pleasure,apartment 23 par 1;apartment 23 par 2;apartment 23 par 3;apartment 23 par 4;apartment 23 par 5,poltavski shlach,22,23 sq.m.;Wi-Fi;TV;Air Condition;Refrigirator;Washing Machine;Shower;Convertible Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Mini-Bar;24X7 Service,,,,,,,,,,,
//   ,*app24,24,1,Sweet Dreams,apartment 24 par 1;apartment 24 par 2;apartment 24 par 3;apartment 24 par 4;apartment 24 par 5,poltavski shlach,25,25 sq.m.;Wi-Fi;TV;Air Condition;Refrigirator;Washing Machine;Shower Stall;Double bed + Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Mini-Bar;24X7 Service,,,,,,,,,,,
//   ,*app28,28,1,Center,apartment 28 par 1;apartment 28 par 2;apartment 28 par 3;apartment 28 par 4;apartment 28 par 6,svobody,32,50 sq.m.;Wi-Fi;Smart TV;Air Condition;Refrigirator;Washing Machine;Dryer;Bath;Bathrobe;Double bed + Sofa;Electric Stove;Boiler;Hair Dryer;Dishes;Mini-Parfumery;Slippers;Iron;Microwave;Kettle;Dining Table;Coffee Table,,,,,,,,,,,
//   ,*wait1,-1,2,waiting apartment,,,,,,,,,,,,,,,
//   ,*wait2,-2,2,waiting apartment,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Guests,id,name,phone,email,Country_code,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
EmployeeWorkDays,dateAndTime,hours,salaryCents,isSalaryDay,Currency_currencyCode,Employee_id,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Orders,id,checkinDate,checkoutDate,Apartment_id,Guest_id,dayCount,adultCount,childrenCount,expectedArrival,specialRequest,status,confirmationNumber,cancellationNumber,price,amountPaid,bookedBy,Currency_currencyCode,OrderColor,staffComments
,*order1,2019-01-01,2019-01-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order2,2019-01-03,2019-01-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order3,2019-01-05,2019-01-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order4,2019-01-07,2019-01-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order5,2019-01-09,2019-01-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order6,2019-01-11,2019-01-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order7,2019-01-13,2019-01-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order8,2019-01-15,2019-01-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order9,2019-01-17,2019-01-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order10,2019-01-19,2019-01-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order11,2019-01-21,2019-01-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order12,2019-01-23,2019-01-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order13,2019-01-25,2019-01-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order14,2019-01-27,2019-01-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order15,2019-01-29,2019-01-31,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order16,2019-01-31,2019-02-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order17,2019-02-02,2019-02-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order18,2019-02-04,2019-02-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order19,2019-02-06,2019-02-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order20,2019-02-08,2019-02-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order21,2019-02-10,2019-02-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order22,2019-02-12,2019-02-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order23,2019-02-14,2019-02-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order24,2019-02-16,2019-02-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order25,2019-02-18,2019-02-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order26,2019-02-20,2019-02-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order27,2019-02-22,2019-02-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order28,2019-02-24,2019-02-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order29,2019-02-26,2019-02-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order30,2019-02-28,2019-03-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order31,2019-03-02,2019-03-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order32,2019-03-04,2019-03-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order33,2019-03-06,2019-03-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order34,2019-03-08,2019-03-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order35,2019-03-10,2019-03-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order36,2019-03-12,2019-03-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order37,2019-03-14,2019-03-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order38,2019-03-16,2019-03-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order39,2019-03-18,2019-03-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order40,2019-03-20,2019-03-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order41,2019-03-22,2019-03-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order42,2019-03-24,2019-03-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order43,2019-03-26,2019-03-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order44,2019-03-28,2019-03-30,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order45,2019-03-30,2019-04-01,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order46,2019-04-01,2019-04-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order47,2019-04-03,2019-04-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order48,2019-04-05,2019-04-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order49,2019-04-07,2019-04-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order50,2019-04-09,2019-04-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order51,2019-04-11,2019-04-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order52,2019-04-13,2019-04-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order53,2019-04-15,2019-04-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order54,2019-04-17,2019-04-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order55,2019-04-19,2019-04-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order56,2019-04-21,2019-04-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order57,2019-04-23,2019-04-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order58,2019-04-25,2019-04-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order59,2019-04-27,2019-04-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order60,2019-04-29,2019-05-01,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order61,2019-05-01,2019-05-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order62,2019-05-03,2019-05-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order63,2019-05-05,2019-05-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order64,2019-05-07,2019-05-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order65,2019-05-09,2019-05-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order66,2019-05-11,2019-05-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order67,2019-05-13,2019-05-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order68,2019-05-15,2019-05-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order69,2019-05-17,2019-05-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order70,2019-05-19,2019-05-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order71,2019-05-21,2019-05-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order72,2019-05-23,2019-05-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order73,2019-05-25,2019-05-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order74,2019-05-27,2019-05-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order75,2019-05-29,2019-05-31,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order76,2019-05-31,2019-06-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order77,2019-06-02,2019-06-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order78,2019-06-04,2019-06-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order79,2019-06-06,2019-06-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order80,2019-06-08,2019-06-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order81,2019-06-10,2019-06-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order82,2019-06-12,2019-06-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order83,2019-06-14,2019-06-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order84,2019-06-16,2019-06-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order85,2019-06-18,2019-06-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order86,2019-06-20,2019-06-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
